,date,time,venue,attendance,duration,time_of_day,winner,winning_name,winning_abbr,losing_name,losing_abbr,away_at_bats,away_runs,away_hits,away_rbi,away_earned_runs,away_bases_on_balls,away_strikeouts,away_plate_appearances,away_batting_average,away_on_base_percentage,away_slugging_percentage,away_on_base_plus,away_pitches,away_strikes,away_win_probability_for_offensive_player,away_average_leverage_index,away_win_probability_added,away_win_probability_subtracted,away_base_out_runs_added,away_putouts,away_assists,away_innings_pitched,away_home_runs,away_strikes_by_contact,away_strikes_swinging,away_strikes_looking,away_grounded_balls,away_fly_balls,away_line_drives,away_unknown_bat_type,away_game_score,away_inherited_runners,away_inherited_score,away_win_probability_by_pitcher,away_base_out_runs_saved,home_at_bats,home_runs,home_hits,home_rbi,home_earned_runs,home_bases_on_balls,home_strikeouts,home_plate_appearances,home_batting_average,home_on_base_percentage,home_slugging_percentage,home_on_base_plus,home_pitches,home_strikes,home_win_probability_for_offensive_player,home_average_leverage_index,home_win_probability_added,home_win_probability_subtracted,home_base_out_runs_added,home_putouts,home_assists,home_innings_pitched,home_home_runs,home_strikes_by_contact,home_strikes_swinging,home_strikes_looking,home_grounded_balls,home_fly_balls,home_line_drives,home_unknown_bat_type,home_game_score,home_inherited_runners,home_inherited_score,home_win_probability_by_pitcher,home_base_out_runs_saved
MLN/MLN196205050,"Saturday, May 5, 1962",,County Stadium,4920,3:25,Day,Home,Milwaukee Braves,MLN,Houston Colt .45s,HOU,50,5,17,5,3.75,1,6,52,0.34,0.353,0.56,0.913,,,-0.356,1.66,1.038,-1.395,-0.8,34,17,11.1,1,,,,,,,,47,3,2,-0.143,-0.4,44,6,13,6,4.76,2,5,47,0.295,0.326,0.409,0.735,,,0.143,1.29,1.544,-1.402,0.4,36,19,12.0,2,,,,,,,,37,0,0,0.356,0.8
MLN/MLN196205061,"Sunday, May 6, 1962",,County Stadium,,2:06,Day,Home,Milwaukee Braves,MLN,Houston Colt .45s,HOU,33,2,8,2,2.0,3,4,36,0.242,0.306,0.333,0.639,,,-0.514,0.9,0.468,-0.983,-2.4,24,10,8.0,1,,,,,,,,52,,,0.014,0.9,30,3,9,3,3.38,1,1,32,0.3,0.323,0.467,0.789,,,-0.014,1.29,0.577,-0.592,-0.9,27,13,9.0,1,,,,,,,,64,,,0.514,2.4
MLN/MLN196205062,"Sunday, May 6, 1962",,County Stadium,12635,2:34,Day,Away,Houston Colt .45s,HOU,Milwaukee Braves,MLN,40,9,12,9,5.0,6,5,47,0.3,0.391,0.625,1.016,,,0.238,0.79,0.638,-0.401,4.6,27,5,9.0,0,,,,,,,,84,,,0.262,3.4,31,1,4,1,1.0,2,11,33,0.129,0.182,0.194,0.375,,,-0.263,0.57,0.325,-0.588,-3.4,27,9,9.0,4,,,,,,,,30,2,0,-0.238,-4.6
HOU/HOU196205070,"Monday, May 7, 1962",,Colt Stadium,19170,2:55,Night,Home,Houston Colt .45s,HOU,Los Angeles Dodgers,LAD,34,6,10,5,4.0,4,6,39,0.294,0.359,0.412,0.771,,,0.222,1.01,1.022,-0.798,1.8,24,17,8.0,2,,,,,,,,36,3,3,-0.723,-5.3,32,9,10,9,5.62,7,3,39,0.312,0.436,0.5,0.936,,,0.723,1.26,1.181,-0.459,5.3,27,14,9.0,0,,,,,,,,39,4,3,-0.222,-1.8
HOU/HOU196205080,"Tuesday, May 8, 1962",,Colt Stadium,17483,3:38,Night,Away,Los Angeles Dodgers,LAD,Houston Colt .45s,HOU,39,9,15,7,7.2,5,8,48,0.385,0.447,0.462,0.908,,,0.502,1.52,1.346,-0.843,4.3,30,10,10.0,0,,,,,,,,49,5,2,-0.001,-1.3,42,6,11,5,3.6,4,10,48,0.262,0.333,0.381,0.714,,,0.001,1.23,1.147,-1.145,1.3,30,10,10.0,0,,,,,,,,33,3,2,-0.501,-4.3
HOU/HOU196205090,"Wednesday, May 9, 1962",,Colt Stadium,12684,2:51,Night,Away,Los Angeles Dodgers,LAD,Houston Colt .45s,HOU,40,9,16,8,7.0,3,4,45,0.4,0.432,0.45,0.882,,,0.152,0.92,0.518,-0.365,4.8,27,11,9.0,0,,,,,,,,64,,,0.347,2.2,35,2,8,1,2.0,4,5,39,0.229,0.308,0.343,0.651,,,-0.347,0.56,0.41,-0.756,-2.2,27,7,9.0,0,,,,,,,,35,4,2,-0.154,-4.8
HOU/HOU196205100,"Thursday, May 10, 1962",,Colt Stadium,15076,2:32,Night,Away,Los Angeles Dodgers,LAD,Houston Colt .45s,HOU,31,6,6,6,5.0,6,8,40,0.194,0.325,0.355,0.68,,,0.254,0.59,0.712,-0.457,1.8,27,10,9.0,2,,,,,,,,75,,,0.244,2.2,30,2,3,2,2.0,3,5,33,0.1,0.182,0.333,0.515,,,-0.244,0.71,0.2,-0.444,-2.2,27,10,9.0,1,,,,,,,,53,0,0,-0.256,-1.8
HOU/HOU196205110,"Friday, May 11, 1962",,Colt Stadium,19003,2:36,Night,Home,Houston Colt .45s,HOU,San Francisco Giants,SFG,31,0,6,0,0.0,3,9,35,0.194,0.265,0.226,0.491,,,-0.263,0.35,0.254,-0.517,-4.2,24,7,8.0,2,,,,,,,,36,1,0,-0.239,-3.3,29,7,6,7,7.88,3,6,33,0.207,0.273,0.483,0.755,,,0.239,0.75,0.376,-0.137,3.3,27,9,9.0,0,,,,,,,,81,,,0.262,4.2
HOU/HOU196205120,"Saturday, May 12, 1962",,Colt Stadium,26311,2:21,Night,Away,San Francisco Giants,SFG,Houston Colt .45s,HOU,41,11,13,9,4.0,3,4,44,0.317,0.364,0.415,0.778,,,0.375,0.19,0.535,-0.158,6.8,27,7,9.0,0,,,,,,,,80,,,0.125,4.2,31,0,4,0,0.0,3,4,34,0.129,0.206,0.129,0.335,,,-0.126,0.39,0.024,-0.15,-4.2,27,14,9.0,1,,,,,,,,35,2,0,-0.375,-6.8
HOU/HOU196205130,"Sunday, May 13, 1962",,Colt Stadium,19879,2:27,Day,Away,San Francisco Giants,SFG,Houston Colt .45s,HOU,39,7,13,6,7.0,2,8,41,0.333,0.366,0.487,0.853,,,0.173,0.57,0.723,-0.55,2.8,27,17,9.0,0,,,,,,,,66,,,0.327,2.2,29,2,6,2,2.0,3,2,32,0.207,0.281,0.241,0.523,,,-0.326,0.72,0.109,-0.435,-2.2,27,8,9.0,1,,,,,,,,42,0,0,-0.173,-2.8
