,date,time,venue,attendance,duration,time_of_day,winner,winning_name,winning_abbr,losing_name,losing_abbr,away_at_bats,away_runs,away_hits,away_rbi,away_earned_runs,away_bases_on_balls,away_strikeouts,away_plate_appearances,away_batting_average,away_on_base_percentage,away_slugging_percentage,away_on_base_plus,away_pitches,away_strikes,away_win_probability_for_offensive_player,away_average_leverage_index,away_win_probability_added,away_win_probability_subtracted,away_base_out_runs_added,away_putouts,away_assists,away_innings_pitched,away_home_runs,away_strikes_by_contact,away_strikes_swinging,away_strikes_looking,away_grounded_balls,away_fly_balls,away_line_drives,away_unknown_bat_type,away_game_score,away_inherited_runners,away_inherited_score,away_win_probability_by_pitcher,away_base_out_runs_saved,home_at_bats,home_runs,home_hits,home_rbi,home_earned_runs,home_bases_on_balls,home_strikeouts,home_plate_appearances,home_batting_average,home_on_base_percentage,home_slugging_percentage,home_on_base_plus,home_pitches,home_strikes,home_win_probability_for_offensive_player,home_average_leverage_index,home_win_probability_added,home_win_probability_subtracted,home_base_out_runs_added,home_putouts,home_assists,home_innings_pitched,home_home_runs,home_strikes_by_contact,home_strikes_swinging,home_strikes_looking,home_grounded_balls,home_fly_balls,home_line_drives,home_unknown_bat_type,home_game_score,home_inherited_runners,home_inherited_score,home_win_probability_by_pitcher,home_base_out_runs_saved
CIN/CIN198609160,"Tuesday, September 16, 1986",,Riverfront Stadium,16927,2:34,Night,Away,Houston Astros,HOU,Cincinnati Reds,CIN,37,6,12,6,6.0,1,8,39,0.324,0.333,0.595,0.928,,,0.152,1.39,0.63,-0.477,1.7,27,6,9.0,0,,,,,,,,53,2,0,0.347,3.3,30,1,4,1,1.0,8,5,39,0.133,0.316,0.167,0.482,,,-0.347,0.71,0.539,-0.885,-3.3,27,10,9.0,1,,,,,,,,40,0,0,-0.154,-1.7
CIN/CIN198609170,"Wednesday, September 17, 1986",,Riverfront Stadium,15195,2:26,Night,Away,Houston Astros,HOU,Cincinnati Reds,CIN,36,6,11,6,6.0,3,3,40,0.306,0.359,0.556,0.915,,,0.132,0.99,0.748,-0.615,1.7,27,12,9.0,0,,,,,,,,76,,,0.369,3.3,31,1,5,1,1.0,0,3,31,0.161,0.161,0.194,0.355,,,-0.369,0.9,0.377,-0.748,-3.3,27,13,9.0,2,,,,,,,,38,1,1,-0.132,-1.7
CIN/CIN198609180,"Thursday, September 18, 1986",,Riverfront Stadium,11825,2:16,Night,Away,Houston Astros,HOU,Cincinnati Reds,CIN,28,5,7,4,5.0,5,4,37,0.25,0.333,0.321,0.655,,,0.192,1.16,0.575,-0.382,0.7,27,7,9.0,1,,,,,,,,59,0,0,0.307,1.3,31,3,4,2,1.0,2,5,34,0.129,0.182,0.29,0.472,,,-0.306,0.91,0.512,-0.818,-1.3,27,7,9.0,0,,,,,,,,49,0,0,-0.193,-0.7
HOU/HOU198609190,"Friday, September 19, 1986",,Astrodome,23805,2:47,Night,Home,Houston Astros,HOU,San Diego Padres,SDP,33,4,8,3,4.0,5,11,40,0.242,0.342,0.242,0.585,,,-0.064,1.59,0.961,-1.027,-0.0,24,6,8.0,0,,,,,,,,40,6,2,-0.434,-1.4,32,5,10,5,5.62,5,2,37,0.312,0.405,0.406,0.812,,,0.433,1.71,1.209,-0.776,1.4,27,11,9.0,0,,,,,,,,45,2,0,0.066,0.0
HOU/HOU198609200,"Saturday, September 20, 1986",,Astrodome,36878,2:33,Night,Home,Houston Astros,HOU,San Diego Padres,SDP,38,6,11,6,6.0,1,13,39,0.289,0.308,0.526,0.834,,,0.015,0.6,0.529,-0.515,2.0,24,9,8.0,1,,,,,,,,16,2,2,-0.517,-6.4,40,10,16,9,9.0,1,7,41,0.4,0.415,0.55,0.965,,,0.517,0.66,0.752,-0.234,6.4,27,8,9.0,2,,,,,,,,66,0,0,-0.016,-2.0
HOU/HOU198609210,"Sunday, September 21, 1986",,Astrodome,23385,2:24,Day,Away,San Diego Padres,SDP,Houston Astros,HOU,40,5,15,5,5.0,4,7,44,0.375,0.432,0.475,0.907,,,0.242,0.41,0.509,-0.267,1.0,27,12,9.0,0,,,,,,,,90,,,0.257,4.0,28,0,1,0,0.0,0,5,28,0.036,0.036,0.107,0.143,,,-0.257,0.53,0.023,-0.28,-4.0,27,9,9.0,1,,,,,,,,22,2,1,-0.243,-1.0
HOU/HOU198609220,"Monday, September 22, 1986",,Astrodome,27641,2:35,Night,Away,Los Angeles Dodgers,LAD,Houston Astros,HOU,39,9,13,9,4.0,1,5,42,0.333,0.341,0.667,1.008,,,0.325,0.35,0.55,-0.228,5.0,27,12,9.0,0,,,,,,,,79,,,0.176,2.0,30,2,2,1,1.0,3,5,33,0.067,0.152,0.133,0.285,,,-0.176,0.48,0.066,-0.241,-2.0,27,7,9.0,3,,,,,,,,34,1,0,-0.323,-5.0
HOU/HOU198609230,"Tuesday, September 23, 1986",,Astrodome,27734,2:44,Night,Home,Houston Astros,HOU,Los Angeles Dodgers,LAD,29,0,2,0,0.0,1,10,30,0.069,0.1,0.069,0.169,,,-0.371,0.51,0.073,-0.444,-4.0,24,9,8.0,1,,,,,,,,44,0,0,-0.13,-0.4,28,4,5,2,4.5,6,7,36,0.179,0.314,0.321,0.636,,,0.132,0.66,0.377,-0.247,0.4,27,4,9.0,0,,,,,,,,92,,,0.37,4.0
HOU/HOU198609240,"Wednesday, September 24, 1986",,Astrodome,37611,2:39,Night,Home,Houston Astros,HOU,San Francisco Giants,SFG,29,0,2,0,0.0,4,12,33,0.069,0.182,0.069,0.251,,,-0.278,0.56,0.112,-0.39,-4.0,24,15,8.0,1,,,,,,,,41,0,0,-0.223,-2.4,30,6,7,5,3.38,7,4,37,0.233,0.378,0.367,0.745,,,0.225,0.59,0.506,-0.281,2.4,27,10,9.0,0,,,,,,,,89,0,0,0.278,4.0
HOU/HOU198609250,"Thursday, September 25, 1986",,Astrodome,32808,2:24,Day,Home,Houston Astros,HOU,San Francisco Giants,SFG,27,0,0,0,0.0,2,13,30,0.0,0.1,0.0,0.1,,,-0.57,1.02,0.172,-0.742,-4.0,24,10,8.0,1,,,,,,,,45,0,0,0.07,1.6,31,2,10,2,2.25,5,8,37,0.323,0.432,0.419,0.852,,,-0.071,1.08,0.64,-0.711,-1.6,27,7,9.0,0,,,,,,,,98,,,0.57,4.0
ATL/ATL198609260,"Friday, September 26, 1986",,Atlanta-Fulton County Stadium,6754,2:15,Night,Home,Atlanta Braves,ATL,Houston Astros,HOU,38,4,11,4,0.0,1,7,39,0.289,0.308,0.368,0.676,,,-0.384,0.54,0.34,-0.724,-0.4,24,7,8.0,1,,,,,,,,50,0,0,-0.117,-1.1,31,5,7,4,5.62,2,6,33,0.226,0.273,0.419,0.692,,,0.115,0.87,0.372,-0.257,1.1,27,6,9.0,0,,,,,,,,62,2,2,0.383,0.4
ATL/ATL198609270,"Saturday, September 27, 1986",,Atlanta-Fulton County Stadium,13545,2:22,Day,Away,Houston Astros,HOU,Atlanta Braves,ATL,35,4,7,4,2.0,1,9,36,0.2,0.222,0.286,0.508,,,0.091,0.91,0.467,-0.376,-0.4,27,4,9.0,0,,,,,,,,72,0,0,0.409,4.4,32,0,7,0,0.0,1,13,34,0.219,0.242,0.219,0.461,,,-0.409,0.64,0.263,-0.671,-4.4,27,10,9.0,0,,,,,,,,57,0,0,-0.092,0.4
ATL/ATL198609280,"Sunday, September 28, 1986",,Atlanta-Fulton County Stadium,6280,2:22,Day,Away,Houston Astros,HOU,Atlanta Braves,ATL,33,2,7,2,2.0,1,6,34,0.212,0.235,0.273,0.508,,,-0.146,1.37,0.528,-0.672,-2.4,27,7,9.0,0,,,,,,,,60,0,0,0.645,4.4,31,0,6,0,0.0,3,7,34,0.194,0.265,0.258,0.523,,,-0.645,0.98,0.447,-1.092,-4.4,27,13,9.0,0,,,,,,,,68,0,0,0.145,2.4
SFN/SFN198609300,"Tuesday, September 30, 1986",,Candlestick Park,13358,2:34,Night,Home,San Francisco Giants,SFG,Houston Astros,HOU,32,5,6,4,3.0,3,6,36,0.188,0.257,0.281,0.538,,,-0.02,1.63,0.568,-0.589,1.0,26,12,8.2,0,,,,,,,,44,1,1,-0.48,-2.3,35,6,11,4,5.19,3,6,40,0.314,0.359,0.4,0.759,,,0.48,0.93,1.422,-0.941,2.3,27,11,9.0,0,,,,,,,,44,0,0,0.021,-1.0
SFN/SFN198610010,"Wednesday, October 1, 1986",,Candlestick Park,9881,2:41,Day,Away,Houston Astros,HOU,San Francisco Giants,SFG,35,5,9,5,5.0,7,6,42,0.257,0.381,0.571,0.952,,,0.203,0.68,0.513,-0.312,1.0,27,3,9.0,0,,,,,,,,67,0,0,0.299,4.0,31,0,5,0,0.0,4,11,35,0.161,0.257,0.258,0.515,,,-0.297,0.46,0.188,-0.487,-4.0,27,12,9.0,2,,,,,,,,39,6,0,-0.201,-1.0
SFN/SFN198610020,"Thursday, October 2, 1986",,Candlestick Park,8656,3:07,Night,Away,Houston Astros,HOU,San Francisco Giants,SFG,31,2,4,1,1.8,7,10,41,0.129,0.308,0.226,0.533,,,0.016,1.71,1.32,-1.303,-2.4,30,16,10.0,0,,,,,,,,75,2,0,0.484,3.4,29,1,4,1,0.9,5,11,38,0.138,0.265,0.207,0.472,,,-0.483,2.06,0.63,-1.114,-3.4,30,10,10.0,1,,,,,,,,62,1,0,-0.016,2.4
HOU/HOU198610030,"Friday, October 3, 1986",,Astrodome,25068,2:22,Night,Home,Houston Astros,HOU,Atlanta Braves,ATL,33,2,7,2,2.0,2,9,35,0.212,0.257,0.333,0.59,,,-0.221,0.52,0.344,-0.564,-2.0,24,10,8.0,1,,,,,,,,42,0,0,-0.281,-2.4,32,6,9,6,5.62,2,4,34,0.281,0.324,0.5,0.824,,,0.28,0.82,0.547,-0.268,2.4,27,6,9.0,1,,,,,,,,68,0,0,0.219,2.0
HOU/HOU198610040,"Saturday, October 4, 1986",,Astrodome,17314,2:18,Day,Home,Houston Astros,HOU,Atlanta Braves,ATL,32,2,7,2,2.0,5,6,37,0.219,0.324,0.25,0.574,,,-0.446,0.88,0.366,-0.812,-2.0,24,11,8.0,0,,,,,,,,44,3,2,-0.055,0.6,29,3,7,3,3.38,3,6,33,0.241,0.313,0.241,0.554,,,0.052,1.15,0.478,-0.425,-0.6,27,11,9.0,0,,,,,,,,59,0,0,0.445,2.0
HOU/HOU198610050,"Sunday, October 5, 1986",,Astrodome,37531,1:50,Day,Home,Houston Astros,HOU,Atlanta Braves,ATL,30,1,4,1,1.0,0,2,30,0.133,0.133,0.133,0.267,,,-0.28,0.42,0.063,-0.343,-3.0,24,7,8.0,0,,,,,,,,41,0,0,-0.22,-0.4,30,4,7,4,4.5,2,3,32,0.233,0.281,0.267,0.548,,,0.22,0.49,0.382,-0.163,0.4,27,15,9.0,0,,,,,,,,68,0,0,0.279,3.0
HOU/HOU198704060,"Monday, April 6, 1987",,Astrodome,44585,2:40,Night,Home,Houston Astros,HOU,Los Angeles Dodgers,LAD,35,3,8,3,3.0,3,11,39,0.229,0.289,0.229,0.518,,,-0.188,1.04,0.897,-1.086,-1.4,24,16,8.0,1,,,,,,,,47,0,0,-0.312,-0.1,33,4,8,3,3.38,1,1,34,0.242,0.265,0.364,0.628,,,0.312,1.63,0.89,-0.578,0.1,27,7,9.0,0,,,,,,,,54,0,0,0.187,1.4
HOU/HOU198704070,"Tuesday, April 7, 1987",,Astrodome,22781,3:00,Night,Home,Houston Astros,HOU,Los Angeles Dodgers,LAD,34,5,8,5,5.0,2,6,36,0.235,0.278,0.441,0.719,,,0.046,1.85,0.798,-0.753,0.6,24,12,8.0,0,,,,,,,,53,2,2,-0.547,-2.1,36,6,13,4,6.75,5,8,42,0.361,0.439,0.389,0.828,,,0.547,1.11,1.633,-1.084,2.1,27,10,9.0,1,,,,,,,,32,1,0,-0.046,-0.6
HOU/HOU198704080,"Wednesday, April 8, 1987",,Astrodome,15682,2:57,Night,Home,Houston Astros,HOU,Los Angeles Dodgers,LAD,36,3,9,3,3.0,2,12,38,0.25,0.289,0.306,0.595,,,-0.004,1.07,0.819,-0.823,-1.4,24,7,8.0,1,,,,,,,,71,2,2,-0.496,-3.1,35,7,11,6,7.88,1,11,36,0.314,0.333,0.457,0.79,,,0.494,1.2,1.084,-0.591,3.1,27,7,9.0,0,,,,,,,,58,1,0,0.005,1.4
HOU/HOU198704100,"Friday, April 10, 1987",,Astrodome,24048,2:33,Night,Home,Houston Astros,HOU,Montreal Expos,MON,32,1,6,1,1.0,6,7,39,0.188,0.333,0.25,0.583,,,-0.188,0.29,0.114,-0.302,-3.4,24,16,8.0,1,,,,,,,,33,2,1,-0.312,-2.1,34,6,10,5,5.62,1,4,35,0.294,0.314,0.412,0.726,,,0.31,0.36,0.42,-0.109,2.1,27,16,9.0,0,,,,,,,,66,2,0,0.188,3.4
HOU/HOU198704110,"Saturday, April 11, 1987",,Astrodome,39576,2:28,Night,Home,Houston Astros,HOU,Montreal Expos,MON,32,2,8,2,2.0,1,7,35,0.25,0.265,0.438,0.702,,,-0.255,1.38,0.674,-0.926,-2.4,24,7,8.0,0,,,,,,,,66,1,0,-0.247,0.9,32,3,8,3,2.25,0,6,33,0.25,0.242,0.344,0.586,,,0.248,1.46,0.943,-0.694,-0.9,27,11,9.0,1,,,,,,,,67,0,0,0.253,2.4
HOU/HOU198704120,"Sunday, April 12, 1987",,Astrodome,16618,2:19,Day,Home,Houston Astros,HOU,Montreal Expos,MON,31,0,6,0,0.0,2,6,33,0.194,0.242,0.226,0.468,,,-0.727,1.02,0.584,-1.31,-4.4,24,11,8.0,0,,,,,,,,56,0,0,0.227,2.9,30,1,10,1,1.12,3,5,34,0.333,0.394,0.367,0.761,,,-0.227,1.64,0.482,-0.709,-2.9,27,15,9.0,0,,,,,,,,68,3,0,0.727,4.4
LAN/LAN198704130,"Monday, April 13, 1987",,Dodger Stadium,39784,2:37,Night,Home,Los Angeles Dodgers,LAD,Houston Astros,HOU,33,2,7,2,2.0,1,3,35,0.212,0.257,0.333,0.59,,,-0.39,0.75,0.303,-0.694,-2.5,24,3,8.0,1,,,,,,,,56,1,1,-0.107,-0.0,27,4,6,4,4.5,5,10,34,0.222,0.324,0.407,0.731,,,0.108,1.05,0.526,-0.419,0.0,27,13,9.0,1,,,,,,,,52,0,0,0.393,2.5
LAN/LAN198704140,"Tuesday, April 14, 1987",,Dodger Stadium,40110,3:30,Night,Home,Los Angeles Dodgers,LAD,Houston Astros,HOU,45,2,9,2,1.5,5,8,51,0.2,0.294,0.311,0.605,,,-0.645,1.88,0.701,-1.346,-3.9,35,11,11.2,0,,,,,,,,67,0,0,0.143,2.5,44,3,10,3,2.31,2,6,48,0.227,0.277,0.273,0.549,,,-0.144,1.55,1.338,-1.481,-2.5,36,15,12.0,1,,,,,,,,60,3,0,0.643,3.9
LAN/LAN198704150,"Wednesday, April 15, 1987",,Dodger Stadium,43381,2:12,Night,Away,Houston Astros,HOU,Los Angeles Dodgers,LAD,34,4,8,4,4.0,0,6,34,0.235,0.235,0.5,0.735,,,-0.004,0.8,0.349,-0.352,-0.4,27,7,9.0,0,,,,,,,,94,,,0.502,4.5,27,0,1,0,0.0,1,10,28,0.037,0.071,0.037,0.108,,,-0.501,0.53,0.056,-0.556,-4.4,27,11,9.0,2,,,,,,,,61,0,0,0.002,0.4
CIN/CIN198704170,"Friday, April 17, 1987",,Riverfront Stadium,26396,2:46,Night,Home,Cincinnati Reds,CIN,Houston Astros,HOU,34,8,10,8,7.0,1,6,37,0.294,0.306,0.529,0.835,,,0.196,0.87,1.048,-0.853,3.3,24,11,8.0,2,,,,,,,,21,4,3,-0.697,-4.8,36,9,12,9,7.88,2,8,39,0.333,0.385,0.583,0.968,,,0.698,1.37,1.157,-0.46,4.8,27,12,9.0,2,,,,,,,,30,1,1,-0.196,-3.3
CIN/CIN198704180,"Saturday, April 18, 1987",,Riverfront Stadium,27509,2:34,Day,Home,Cincinnati Reds,CIN,Houston Astros,HOU,29,0,4,0,0.0,0,4,30,0.138,0.138,0.207,0.345,,,-0.392,0.57,0.103,-0.494,-4.7,24,10,8.0,2,,,,,,,,60,4,2,-0.109,-3.8,31,8,11,8,9.0,5,7,36,0.355,0.444,0.677,1.122,,,0.108,0.67,0.498,-0.389,3.8,27,11,9.0,0,,,,,,,,83,,,0.391,4.7
CIN/CIN198704191,"Sunday, April 19, 1987",,Riverfront Stadium,,2:20,Day,Away,Houston Astros,HOU,Cincinnati Reds,CIN,36,7,12,7,7.0,4,6,41,0.333,0.4,0.667,1.067,,,0.286,0.55,0.722,-0.438,2.3,27,6,9.0,2,,,,,,,,62,0,0,0.214,1.7,30,3,3,3,3.0,2,7,32,0.1,0.156,0.333,0.49,,,-0.213,0.61,0.185,-0.397,-1.7,27,11,9.0,3,,,,,,,,26,0,0,-0.286,-2.3
CIN/CIN198704192,"Sunday, April 19, 1987",,Riverfront Stadium,31005,2:26,Day,Home,Cincinnati Reds,CIN,Houston Astros,HOU,35,2,9,2,2.0,3,6,38,0.257,0.316,0.4,0.716,,,-0.274,0.74,0.486,-0.759,-2.7,24,6,8.0,2,,,,,,,,45,1,1,-0.225,-1.8,34,6,11,6,6.75,2,8,36,0.324,0.361,0.706,1.067,,,0.224,0.99,0.676,-0.451,1.8,27,8,9.0,1,,,,,,,,58,2,0,0.274,2.7
HOU/HOU198704210,"Tuesday, April 21, 1987",,Astrodome,14602,2:37,Night,Home,Houston Astros,HOU,Atlanta Braves,ATL,35,6,9,5,5.0,4,3,41,0.257,0.325,0.429,0.754,,,0.21,1.63,0.609,-0.4,1.6,26,16,8.2,1,,,,,,,,55,1,1,-0.71,-3.4,37,7,13,6,5.19,4,6,42,0.351,0.415,0.459,0.874,,,0.711,0.71,1.545,-0.834,3.4,27,10,9.0,1,,,,,,,,37,0,0,-0.209,-1.6
HOU/HOU198704220,"Wednesday, April 22, 1987",,Astrodome,15539,2:41,Night,Home,Houston Astros,HOU,Atlanta Braves,ATL,33,0,7,0,0.0,3,12,36,0.212,0.278,0.242,0.52,,,-0.342,0.58,0.305,-0.649,-4.4,24,12,8.0,2,,,,,,,,37,4,1,-0.157,-2.1,32,6,11,6,6.75,5,5,38,0.344,0.447,0.563,1.01,,,0.157,0.9,0.528,-0.371,2.1,27,9,9.0,0,,,,,,,,77,0,0,0.343,4.4
HOU/HOU198704230,"Thursday, April 23, 1987",,Astrodome,14757,3:05,Night,Home,Houston Astros,HOU,Atlanta Braves,ATL,34,3,10,3,3.0,6,6,41,0.294,0.4,0.441,0.841,,,-0.292,1.41,0.665,-0.956,-1.4,24,8,8.0,0,,,,,,,,44,4,3,-0.208,-1.1,34,5,11,5,5.62,3,7,37,0.324,0.378,0.441,0.82,,,0.21,1.23,0.979,-0.769,1.1,27,7,9.0,0,,,,,,,,48,4,0,0.293,1.4
HOU/HOU198704240,"Friday, April 24, 1987",,Astrodome,26749,3:13,Night,Away,Cincinnati Reds,CIN,Houston Astros,HOU,42,4,8,4,2.45,2,15,45,0.19,0.227,0.333,0.561,,,0.051,1.57,0.995,-0.945,-1.3,33,15,11.0,1,,,,,,,,65,1,1,0.45,2.3,39,3,7,2,1.64,2,8,42,0.179,0.22,0.308,0.527,,,-0.449,1.29,0.903,-1.352,-2.3,33,8,11.0,2,,,,,,,,75,0,0,-0.051,1.3
HOU/HOU198704250,"Saturday, April 25, 1987",,Astrodome,43445,2:46,Night,Away,Cincinnati Reds,CIN,Houston Astros,HOU,33,3,6,3,2.7,4,14,40,0.182,0.282,0.212,0.494,,,-0.215,1.13,0.905,-1.12,-1.8,30,13,10.0,0,,,,,,,,76,2,0,0.715,4.8,31,0,2,0,0.0,2,3,33,0.065,0.121,0.065,0.186,,,-0.716,1.67,0.179,-0.895,-4.8,30,12,10.0,0,,,,,,,,85,3,3,0.216,1.8
HOU/HOU198704260,"Sunday, April 26, 1987",,Astrodome,21900,2:35,Day,Away,Cincinnati Reds,CIN,Houston Astros,HOU,41,11,19,11,11.0,3,5,44,0.463,0.5,0.659,1.159,,,0.277,0.79,0.561,-0.285,6.6,27,7,9.0,1,,,,,,,,48,2,1,0.224,1.4,33,3,7,3,3.0,1,3,35,0.212,0.229,0.303,0.532,,,-0.223,0.44,0.3,-0.524,-1.4,27,17,9.0,2,,,,,,,,25,0,0,-0.276,-6.6
NYN/NYN198704270,"Monday, April 27, 1987",,Shea Stadium,27381,2:50,Night,Away,Houston Astros,HOU,New York Mets,NYM,35,11,9,7,7.0,9,7,46,0.257,0.4,0.514,0.914,,,0.474,0.29,0.682,-0.207,6.7,27,7,9.0,1,,,,,,,,67,0,0,0.027,3.3,30,1,5,1,1.0,5,9,35,0.167,0.286,0.4,0.686,,,-0.028,0.53,0.208,-0.233,-3.3,27,13,9.0,2,,,,,,,,16,0,0,-0.473,-6.7
NYN/NYN198704290,"Wednesday, April 29, 1987",,Shea Stadium,27097,2:40,Night,Home,New York Mets,NYM,Houston Astros,HOU,34,1,8,1,1.0,2,9,36,0.235,0.278,0.265,0.542,,,-0.551,0.74,0.511,-1.063,-3.3,24,8,8.0,1,,,,,,,,57,0,0,0.052,1.8,31,2,7,2,2.25,0,12,32,0.226,0.25,0.355,0.605,,,-0.051,1.42,0.379,-0.43,-1.8,27,6,9.0,0,,,,,,,,73,1,1,0.552,3.3
ATL/ATL198705010,"Friday, May 1, 1987",,Atlanta-Fulton County Stadium,8768,2:46,Day,Away,Houston Astros,HOU,Atlanta Braves,ATL,43,12,18,12,12.0,5,2,48,0.419,0.479,0.651,1.13,,,0.208,0.56,0.6,-0.391,7.3,27,10,9.0,1,,,,,,,,65,5,0,0.292,1.7,35,3,9,3,3.0,3,4,38,0.257,0.316,0.4,0.716,,,-0.292,0.61,0.154,-0.449,-1.7,27,10,9.0,2,,,,,,,,24,6,3,-0.208,-7.3
ATL/ATL198705020,"Saturday, May 2, 1987",,Atlanta-Fulton County Stadium,16748,2:42,Night,Home,Atlanta Braves,ATL,Houston Astros,HOU,36,4,9,4,2.0,3,5,40,0.25,0.325,0.333,0.658,,,-0.195,0.7,0.537,-0.733,-0.7,24,10,8.0,3,,,,,,,,28,2,2,-0.306,-7.8,34,12,13,12,13.5,8,6,42,0.382,0.5,0.735,1.235,,,0.307,0.98,0.819,-0.512,7.8,27,11,9.0,0,,,,,,,,53,0,0,0.195,0.7
ATL/ATL198705030,"Sunday, May 3, 1987",,Atlanta-Fulton County Stadium,16336,2:31,Day,Home,Atlanta Braves,ATL,Houston Astros,HOU,32,3,8,3,3.0,4,7,36,0.25,0.333,0.438,0.771,,,-0.302,0.7,0.696,-0.997,-1.7,24,14,8.0,1,,,,,,,,37,0,0,-0.199,-0.8,33,5,10,5,4.5,4,4,39,0.303,0.378,0.485,0.863,,,0.2,1.24,0.653,-0.453,0.8,27,15,9.0,1,,,,,,,,55,1,0,0.301,1.7
PHI/PHI198705050,"Tuesday, May 5, 1987",,Veterans Stadium,15611,2:33,Night,Away,Houston Astros,HOU,Philadelphia Phillies,PHI,35,5,11,5,5.0,0,5,37,0.314,0.324,0.429,0.753,,,0.102,1.25,0.756,-0.654,0.3,27,8,9.0,0,,,,,,,,64,0,0,0.397,3.7,33,1,6,1,1.0,3,6,37,0.182,0.243,0.242,0.486,,,-0.398,1.0,0.41,-0.809,-3.7,27,11,9.0,0,,,,,,,,53,0,0,-0.102,-0.3
PHI/PHI198705060,"Wednesday, May 6, 1987",,Veterans Stadium,15809,2:33,Night,Away,Houston Astros,HOU,Philadelphia Phillies,PHI,33,3,9,3,3.0,2,6,37,0.273,0.306,0.303,0.609,,,0.03,1.37,1.034,-1.003,-1.7,27,9,9.0,1,,,,,,,,60,0,0,0.471,2.7,29,2,5,2,2.0,4,11,35,0.172,0.273,0.276,0.549,,,-0.47,1.59,0.495,-0.966,-2.7,27,9,9.0,0,,,,,,,,61,0,0,-0.029,1.7
MON/MON198705080,"Friday, May 8, 1987",,Stade Olympique,9692,2:04,Night,Away,Houston Astros,HOU,Montreal Expos,MON,33,3,7,3,2.0,1,4,35,0.212,0.235,0.303,0.538,,,-0.105,1.13,0.389,-0.493,-1.7,27,12,9.0,0,,,,,,,,93,,,0.605,4.7,28,0,2,0,0.0,2,12,30,0.071,0.133,0.143,0.276,,,-0.606,0.71,0.204,-0.808,-4.7,27,14,9.0,1,,,,,,,,59,2,1,0.105,1.7
MON/MON198705090,"Saturday, May 9, 1987",,Stade Olympique,12590,2:13,Day,Home,Montreal Expos,MON,Houston Astros,HOU,31,1,5,1,1.0,3,9,34,0.161,0.235,0.226,0.461,,,-0.45,0.48,0.34,-0.789,-3.7,24,7,8.0,1,,,,,,,,53,0,0,-0.05,1.2,30,3,8,3,3.38,3,8,33,0.267,0.333,0.4,0.733,,,0.049,1.07,0.352,-0.303,-1.2,27,8,9.0,0,,,,,,,,71,0,0,0.451,3.7
MON/MON198705100,"Sunday, May 10, 1987",,Stade Olympique,13259,2:29,Day,Home,Montreal Expos,MON,Houston Astros,HOU,31,2,6,2,2.0,2,11,34,0.194,0.235,0.29,0.526,,,-0.261,0.44,0.259,-0.522,-2.7,24,7,8.0,1,,,,,,,,30,0,0,-0.238,-1.8,34,6,12,6,6.75,2,7,37,0.353,0.378,0.559,0.937,,,0.237,0.78,0.468,-0.229,1.8,27,5,9.0,0,,,,,,,,59,2,0,0.262,2.7
HOU/HOU198705110,"Monday, May 11, 1987",,Astrodome,11369,2:47,Night,Away,Philadelphia Phillies,PHI,Houston Astros,HOU,35,7,7,7,6.0,1,9,36,0.2,0.222,0.486,0.708,,,0.58,1.57,1.149,-0.568,2.6,27,10,9.0,1,,,,,,,,40,4,1,-0.083,-1.6,38,6,13,6,6.0,3,4,42,0.342,0.39,0.526,0.917,,,0.082,0.96,1.167,-1.083,1.6,27,11,9.0,3,,,,,,,,66,0,0,-0.582,-2.6
HOU/HOU198705120,"Tuesday, May 12, 1987",,Astrodome,8950,2:24,Night,Home,Houston Astros,HOU,Philadelphia Phillies,PHI,34,2,9,2,2.0,1,5,35,0.265,0.286,0.324,0.609,,,-0.215,0.59,0.381,-0.596,-2.4,24,7,8.0,0,,,,,,,,36,2,1,-0.284,-1.1,30,5,7,5,5.62,5,5,36,0.233,0.333,0.3,0.633,,,0.285,0.81,0.503,-0.218,1.1,27,14,9.0,0,,,,,,,,50,0,0,0.215,2.4
HOU/HOU198705130,"Wednesday, May 13, 1987",,Astrodome,27675,3:10,Night,Home,Houston Astros,HOU,New York Mets,NYM,35,1,6,1,0.9,2,12,38,0.171,0.237,0.286,0.523,,,-0.557,2.12,0.408,-0.965,-3.8,28,17,9.1,0,,,,,,,,60,3,1,0.057,1.9,34,2,9,1,1.93,6,6,41,0.265,0.375,0.265,0.64,,,-0.059,1.2,1.351,-1.409,-1.9,30,9,10.0,0,,,,,,,,70,0,0,0.557,3.8
HOU/HOU198705140,"Thursday, May 14, 1987",,Astrodome,24197,2:53,Night,Home,Houston Astros,HOU,New York Mets,NYM,33,4,5,4,4.0,4,5,38,0.152,0.263,0.273,0.536,,,-0.241,1.15,0.806,-1.047,-0.4,24,10,8.0,0,,,,,,,,41,2,1,-0.259,-1.1,32,5,10,5,5.62,2,4,35,0.312,0.353,0.406,0.759,,,0.258,1.51,0.813,-0.556,1.1,27,12,9.0,1,,,,,,,,46,1,0,0.241,0.4
HOU/HOU198705150,"Friday, May 15, 1987",,Astrodome,23471,2:36,Night,Away,Chicago Cubs,CHC,Houston Astros,HOU,33,3,8,3,3.0,2,10,37,0.242,0.286,0.242,0.528,,,0.003,1.11,0.546,-0.544,-1.4,27,13,9.0,0,,,,,,,,72,1,0,0.499,3.4,29,1,3,1,1.0,2,6,32,0.103,0.188,0.103,0.291,,,-0.499,0.96,0.272,-0.771,-3.4,27,9,9.0,0,,,,,,,,49,0,0,-0.001,1.4
